Rank,Company,Best Composite,Mean Composite,Tier,Sites,Proximity,Fit %,Density,Min Distance (mi),Nearest Primo Site,"City, State",Segment,Confidence
5255,FREITTY Cross-Dock Huntley,22.89,22.89,D,1,7,33.3,3,79.5,US PL Madison Factory,"Huntley, IL",shipper,low
5256,Altitude Cold Storage,22.88,22.88,C,1,18,33.3,1,51.5,US PL Denver Factory,"Greeley, CO",shipper,medium
5257,Stox Warehouse,22.88,22.88,C,1,18,33.3,1,51.5,US PL Mecosta Factory,"Midland, MI",shipper,medium
5258,Northeast Logistics,22.88,22.88,D,1,18,33.3,1,51.5,US PL Hollis Factory,"Allenstown, NH",3pl,medium
5259,Fulfillment America Inc,22.85,22.85,D,1,7,33.3,3,79.8,US PL Hollis Factory,"Billerica, MA",3pl,medium
5260,TasteGood,22.83,22.83,D,1,36,0,1,30.6,US PL High Springs Factory,"Starke, FL",shipper,low
5261,WB Warehouse,22.82,22.82,C,1,23,33.3,0,43.7,US PL Madison Factory,"Horicon, WI",shipper,medium
5262,Outsource Logistics Warehouse,22.82,22.82,C,1,7,33.3,3,80,US PL High Springs Factory,"Valdosta, GA",3pl,medium
5263,Dunham Logistics,22.82,22.82,D,1,7,33.3,3,80,US PL Hollis Factory,"Billerica, MA",3pl,medium
5264,Warehouse Rentals of Georgia,22.81,22.81,C,1,7,33.3,3,80.1,US PL High Springs Factory,"Valdosta, GA",shipper,medium
5265,DC Norris North America,22.77,22.77,C,1,7,33.3,3,80.4,US PL Mecosta Factory,"Traverse City, MI",shipper,low
5266,Inland Cross dock & Warehouse,22.75,22.75,C,1,18,33.3,1,51.9,US PL Zephyrhills Factory,"Orlando, FL",shipper,medium
5267,The Anderson-DuBose Company,22.75,22.75,D,1,14,0,5,58.8,US PL High Springs Factory,"Jacksonville, FL",shipper,low
5268,Qual Pac,22.75,22.75,D,1,14,0,5,58.8,US PL McBee Factory,"Charlotte, NC",shipper,low
5269,True Value Distribution Center,22.72,20.39,C,2,18,33.3,1,52,US PL Dallas 2 Factory,"Corsicana, TX",shipper,medium
5270,Averitt Express,22.72,22.72,D,1,14,0,5,58.9,US PL McBee Factory,"Charlotte, NC",carrier,low
5271,North Arrow ABA- Cedar Springs,22.7,22.7,D,1,36,0,1,30.8,US PL Mecosta Factory,"Cedar Springs, MI",shipper,low
5272,UPS Worldwide Express Freight Center,22.69,22.69,D,1,23,33.3,0,44,US PL Zephyrhills Factory,"Ocoee, FL",shipper,low
5273,Envision Cold Storage,22.6,20.59,C,2,7,33.3,3,68.7,US PL Mecosta Factory,"Traverse City, MI",shipper,medium
5274,"Chambers Warehousing & Storage, Inc.",22.59,22.59,D,1,14,0,5,59.4,US PL McBee Factory,"Charlotte, NC",3pl,low
5275,Rexnord Industries LLC,22.57,22.57,D,1,36,0,1,31,US PL Poland Spring Factory,"Arrowsic, ME",shipper,low
5276,ITC Michigan St. Johns Warehouse,22.56,22.56,C,1,17,33.3,1,52.5,US PL Mecosta Factory,"St Johns, MI",shipper,medium
