Rank,Composite,Proximity,Fit %,Density,Distance (mi),Nearest Primo Site,Tier,Segment,Confidence,Name,Account,"City, State",Vertical,Enterprise,Network,Corridor,Address
7109,20.15,13,33.3,1,61.2,US PL Madison Factory,D,3pl,medium,USCCA & Delta Defense Fulfillment Center,,"Jackson, WI",25,0,0,"Milwaukee, WI","N173W21298 Northwest Passage, Jackson, WI 53037, USA"
7110,20.14,9,0,5,71.1,US PL High Springs Factory,D,shipper,medium,Majestic Terminal Services,,"Jacksonville, FL",0,0,0,"Jacksonville, FL","13920 Thomas Imeson Ave #1, Jacksonville, FL 32218, USA"
7111,20.12,9,0,5,71.2,US PL Mecosta Factory,D,shipper,low,Michigan Natural Storage,,"Holland, MI",0,0,0,"Grand Rapids, MI","Shipping & Receiving, 450 Douglas Ave, Holland, MI 49424, USA"
7112,20.12,2,33.3,3,116.8,US PL Mecosta Factory,C,shipper,low,ARKK Food Company,,"Bloomfield Township, MI",25,0,0,"Romulus, MI","1750 S Telegraph Rd #310, Bloomfield Township, MI 48302, USA"
7113,20.11,18,33.3,0,50.8,US PL Zephyrhills Factory,C,shipper,medium,Running Board Warehouse,,"Hernando, FL",25,0,0,"Hernando, FL","1250 E Overdrive Cir, Hernando, FL 34442, USA"
7114,20.11,2,33.3,3,117.1,US PL Madison Factory,C,shipper,low,Chicago Crossdock,,"Summit, IL",25,0,0,"Elk Grove Village, IL","7719 W 60th Pl, Summit, IL 60501, USA"
7115,20.1,13,33.3,1,61.4,US PL Hawkins Factory,C,shipper,medium,Palestine Cold Storage,,"Palestine, TX",25,0,0,"Palestine, TX","1002 San Jacinto St, Palestine, TX 75801, USA"
7116,20.05,2,33.3,3,118.8,US PL Madison Factory,C,carrier,low,Swift Crossdock,,"Bedford Park, IL",25,0,0,"Elk Grove Village, IL","6600 S Melvina Ave, Bedford Park, IL 60638, USA"
7117,20.04,9,0,5,71.7,US PL High Springs Factory,D,carrier,medium,Bridge Terminal Transport,,"Jacksonville, FL",0,0,0,"Jacksonville, FL","139 Eastport Rd, Jacksonville, FL 32218, USA"
7118,20.03,20,0,3,48.2,US PL Zephyrhills Factory,D,shipper,medium,logistec terminals,,"Palmetto, FL",0,0,0,"Palmetto, FL","600 Tampa Bay Way 6, 6, Palmetto, FL 34221, USA"
7119,20.03,16,26.7,1,54.2,US PL Allentown NPL Factory,D,shipper,low,Kraft Packaging Factory,kraft-heinz,"Wilmington, DE",20,0,0,"Allentown, PA","300 Delaware Ave ste 210 564, Wilmington, DE 19801, USA"
7120,20.03,13,33.3,1,61.7,US PL Mecosta Factory,D,3pl,medium,"Transfast Logistics, Inc",,"Grand Ledge, MI",25,0,0,"Lansing, MI","301 S Bridge St, Grand Ledge, MI 48837, USA"
7121,20,2,33.3,3,120.1,US PL Madison Factory,C,shipper,low,CrossDock Connect,,"Bedford Park, IL",25,0,0,"Elk Grove Village, IL","5100 70th Pl, Bedford Park, IL 60638, USA"
7122,19.95,18,33.3,0,51.3,US DC NFI - Breinigsville,D,shipper,medium,Cold Storage 2 GO! by Sea Box,,"Hillsborough Township, NJ",25,0,0,"Allentown, PA","321 Valley Rd, Hillsborough Township, NJ 08844, USA"
7123,19.94,13,33.3,1,62.1,US PL High Springs Factory,C,shipper,medium,Super Pufft Warehouse,,"Perry, FL",25,0,0,"Perry, FL","1809 S Byron Butler Pkwy, Perry, FL 32347, USA"
7124,19.92,9,0,5,72.4,US PL Mecosta Factory,D,shipper,medium,Holland Terminal,,"Holland, MI",0,0,0,"Grand Rapids, MI","630 Ottawa Ave, Holland, MI 49423, USA"
7125,19.92,9,0,5,72.4,US PL Hollis Factory,D,shipper,low,US Storage Centers,,"Middleton, MA",0,0,0,"Auburn, ME","193 S Main St, Middleton, MA 01949, USA"
7126,19.9,36,0,0,30.5,US PL Kingfield Factory,D,shipper,low,Innovative Machining Solutions,,"Vienna, ME",0,0,0,"Auburn, ME","47 Vienna Mtn Rd, Vienna, ME 04360, USA"
7127,19.89,13,33.3,1,62.3,US DC Hot Springs (WHSE),C,shipper,low,Hope Agri Products Inc,,"Hope, AR",25,0,0,"Hope, AR","165 Co Rd 275, Hope, AR 71801, USA"
7128,19.88,25,20,0,41.3,US DC NFI - Breinigsville,D,shipper,low,AJG Packaging,,"Flemington, NJ",15,0,0,"Allentown, PA","27 Minneakoning Rd, Flemington, NJ 08822, USA"
